Field,ID,Type (Type),default,en-us,en-au,en-ca,en-gb,de,es-es,es-mx,fr,it,ja,ko,nl,pt-br,pt-pt,ru,sv,zh-hans,zh-hant
Description,2,Text,,"Edendale is a free, open-source video player and personal watch/review tracker. Organize your library, play local media, and keep track of your watch history without compromising your privacy. Your data stays local, and no account is required.","Edendale is a free, open-source video player and personal watch/review tracker. Organize your library, play local media, and keep track of your watch history without compromising your privacy. Your data stays local, and no account is required.","Edendale is a free, open-source video player and personal watch/review tracker. Organize your library, play local media, and keep track of your watch history without compromising your privacy. Your data stays local, and no account is required.","Edendale is a free, open-source video player and personal watch/review tracker. Organize your library, play local media, and keep track of your watch history without compromising your privacy. Your data stays local, and no account is required.","Edendale ist ein kostenloser, quelloffener Videoplayer und ein persönlicher Tracker für gesehene Inhalte und Bewertungen. Organisieren Sie Ihre Bibliothek, spielen Sie lokale Medien ab und behalten Sie den Überblick über Ihre Wiedergabehistorie, ohne Ihre Privatsphäre zu gefährden. Ihre Daten bleiben lokal und es ist kein Konto erforderlich.","Edendale es un reproductor de video gratuito y de código abierto y un rastreador personal de visualizaciones y reseñas. Organiza tu biblioteca, reproduce medios locales y lleva un registro de tu historial de visualización sin comprometer tu privacidad. Tus datos permanecen a nivel local y no se requiere ninguna cuenta.","Edendale es un reproductor de video gratuito y de código abierto, además de un rastreador personal de visualizaciones y reseñas. Organiza tu biblioteca, reproduce medios locales y lleva un registro de tu historial de visualización sin comprometer tu privacidad. Tus datos se mantienen locales y no necesitas cuenta.","Edendale est un lecteur vidéo gratuit et open-source, ainsi qu'un tracker personnel de visionnage et de critiques. Organisez votre bibliothèque, lisez des médias locaux et gardez une trace de votre historique de visionnage sans compromettre votre confidentialité. Vos données restent locales et aucun compte n'est requis.","Edendale è un lettore video gratuito e open source, oltre a un tracker personale per visualizzazioni e recensioni. Organizza la tua libreria, riproduci i media locali e tieni traccia della tua cronologia di visualizzazione senza compromettere la tua privacy. I tuoi dati restano locali e non è richiesto alcun account.",Edendaleは、無料でオープンソースの動画プレーヤーであり、個人的な視聴履歴やレビューを記録できるアプリです。ライブラリを整理し、ローカルメディアを再生し、プライバシーを損なうことなく視聴履歴を追跡します。データはローカルに保存され、アカウントは不要です。,"Edendale은 무료 오픈 소스 비디오 플레이어이자 개인 시청 및 리뷰 추적기입니다. 라이브러리를 구성하고, 로컬 미디어를 재생하며, 개인 정보를 손상시키지 않고 시청 기록을 추적하세요. 데이터는 로컬에 유지되며 계정이 필요하지 않습니다.","Edendale is een gratis, open-source videospeler en persoonlijke watch/review-tracker. Organiseer je bibliotheek, speel lokale media af en houd je kijkgeschiedenis bij zonder je privacy in gevaar te brengen. Je gegevens blijven lokaal en er is geen account vereist.","Edendale é um reprodutor de vídeo gratuito e de código aberto e um rastreador pessoal de visualizações e análises. Organize sua biblioteca, reproduza mídia local e acompanhe seu histórico de visualizações sem comprometer sua privacidade. Seus dados permanecem locais e nenhuma conta é necessária.","O Edendale é um reprodutor de vídeo gratuito e de código aberto e um registo pessoal de visualizações e análises. Organize a sua biblioteca, reproduza meios locais e mantenha um registo do seu histórico de visualizações sem comprometer a sua privacidade. Os seus dados permanecem locais e não é necessária nenhuma conta.","Edendale — это бесплатный видеоплеер с открытым исходным кодом и личный трекер просмотров и отзывов. Организуйте свою библиотеку, воспроизводите локальные медиафайлы и следите за историей просмотров без ущерба для конфиденциальности. Ваши данные остаются на устройстве, и учетная запись не требуется.","Edendale är en gratis, öppen källkods videospelare och personlig tracker för vad du sett och recenserat. Organisera ditt bibliotek, spela upp lokal media och håll koll på din visningshistorik utan att äventyra din integritet. Din data stannar lokalt och inget konto krävs.",Edendale 是一个免费、开源的视频播放器和个人观看记录/评论应用。组织您的库、播放本地媒体，并在不泄露隐私的情况下记录您的观看历史。您的数据保存在本地，无需任何帐户。,Edendale 是一個免費、開源的影片播放器和個人觀看記錄/評論應用程式。整理您的媒體櫃、播放本機媒體，並在不妥協隱私的情況下追蹤您的觀看歷史。您的資料保存在本機，無需註冊任何帳戶。
ReleaseNotes,3,Text,,Initial Windows release.,Initial Windows release.,Initial Windows release.,Initial Windows release.,Erste Windows-Veröffentlichung.,Lanzamiento inicial para Windows.,Versión inicial para Windows.,Première version pour Windows.,Lancio iniziale per Windows.,Windows向け初期リリース。,Windows 초기 릴리스.,Eerste release voor Windows.,Versão inicial para Windows.,Lançamento inicial para Windows.,Первый выпуск для Windows.,Första versionen för Windows.,Windows 初始版本。,Windows 初始版本。
Title,4,Text,,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale
ShortTitle,5,Text,,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale
SortTitle,6,Text,,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale
VoiceTitle,7,Text,,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale
ShortDescription,8,Text,,"Free, open-source video player and personal watch/review tracker.","Free, open-source video player and personal watch/review tracker.","Free, open-source video player and personal watch/review tracker.","Free, open-source video player and personal watch/review tracker.","Kostenloser, quelloffener Videoplayer und persönlicher Watch/Review-Tracker.",Reproductor de video gratuito y de código abierto y rastreador de visualizaciones.,Reproductor de video de código abierto y rastreador de visualizaciones.,Lecteur vidéo open-source gratuit et tracker de visionnage.,Lettore video open source e tracker di visualizzazioni.,無料でオープンソースの動画プレーヤーおよび視聴記録アプリ。,무료 오픈 소스 비디오 플레이어 및 시청 추적기.,Gratis open-source videospeler en kijk-tracker.,Reprodutor de vídeo de código aberto e rastreador de visualizações.,Reprodutor de vídeo de código aberto e registo de visualizações.,Бесплатный видеоплеер с открытым исходным кодом и трекер просмотров.,Gratis videospelare och tracker med öppen källkod.,免费、开源的视频播放器和观看记录应用。,免費、開源的影片播放器和觀看記錄應用。
DevStudio,9,Text,,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale,Edendale
CopyrightTrademarkInformation,12,Text,,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors,© Edendale Contributors
AdditionalLicenseTerms,13,Text,,,,,,,,,,,,,,,,,,,
